key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l43,28.736874;-6.860661;1.249968,,,
l44,29.598375;-6.729671;1.284822,,,
l48,31.191059;-5.851294;1.344931,,,
l49,28.663997;13.863666;1.377158,,,
l50,26.283389;13.918455;1.287475,,,
l51,14.447507;-8.431319;1.413073,,,
l52,16.941096;-6.914704;1.546830,,,
l54,21.069014;13.145039;1.608224,,,
l55,16.853969;13.908756;1.419253,,,
l56,24.535600;-6.687385;1.617796,,,
l57,34.879306;13.653686;1.617393,,,
l58,24.121205;13.743748;1.798249,,,
l59,15.572353;-7.215646;1.815908,,,
l60,28.500376;-6.555895;1.864842,,,
l61,28.089226;13.012198;2.002856,,,
l62,26.365789;13.181911;1.907655,,,
l63,17.124885;13.360210;1.874862,,,
l64,18.595679;13.654610;1.991596,,,
l65,25.953516;13.693800;1.900204,,,
l66,17.487343;14.005482;1.935720,,,
l67,14.451303;15.767984;1.856138,,,
l68,14.696613;16.690868;1.932286,,,
l69,14.706564;-7.720572;2.113530,,,
l70,19.139712;-6.335185;2.139580,,,
l73,20.501042;13.457002;2.115788,,,
l74,21.573339;13.549299;2.198009,,,
l75,14.979766;-8.620447;2.202528,,,
l76,25.750686;-7.181905;2.276200,,,
l77,26.656626;-7.049992;2.348992,,,
l78,34.386895;-5.301333;2.225487,,,
l79,26.702522;-5.289780;2.319427,,,
l80,33.425783;13.128914;2.323554,,,
l81,34.810431;13.020511;2.404534,,,
l82,23.475260;13.538505;2.337955,,,
l83,24.449738;13.491617;2.409080,,,
l84,17.083180;14.102191;2.391716,,,
l85,15.100041;15.175726;2.316932,,,
l86,14.881083;16.163528;2.381624,,,
l87,28.210323;-6.732723;2.473023,,,
l88,17.821824;-6.645700;2.425233,,,
l89,26.567642;13.010808;2.551075,,,
l90,25.687486;13.101264;2.486743,,,
l91,19.691465;-6.555570;2.651122,,,
l92,23.934539;-6.308840;2.637729,,,
l94,28.242247;12.989030;2.681044,,,
l95,29.417168;12.954645;2.772449,,,
l96,21.736637;13.239720;2.744029,,,
l97,16.309849;13.942687;2.780912,,,
l98,14.460815;15.341080;2.739997,,,
l99,15.081697;-7.666273;2.886472,,,
l100,17.792741;-7.364076;2.873479,,,
l101,20.996174;-6.784383;2.822279,,,
l102,21.559440;-6.552490;2.883297,,,
