key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l243,22.270383;9.953029;6.747327,,,
l244,18.297230;10.086642;6.756010,,,
l245,18.990896;-5.057224;6.820665,,,
l246,21.004175;-4.945690;6.974794,,,
l247,23.007491;-3.787052;6.990196,,,
l248,27.076575;-2.658932;6.895993,,,
l249,17.073185;9.692691;6.818292,,,
l250,19.786428;-4.860892;7.074620,,,
l251,21.700612;-3.912721;7.132405,,,
l252,25.604201;-3.235692;7.137413,,,
l253,44.404250;-2.516093;7.263235,,,
l254,34.953340;-1.680291;7.283049,,,
l255,30.032769;8.036066;7.181837,,,
l256,20.633832;8.107942;7.179296,,,
l257,21.943473;8.236189;7.035362,,,
l258,44.218865;8.321522;7.362302,,,
l259,18.683503;8.476701;7.133067,,,
l260,20.554595;-4.599104;7.316861,,,
l261,20.810271;-3.901221;7.357793,,,
l262,26.396170;-2.221566;7.330122,,,
l263,46.508437;-1.727649;7.604152,,,
l264,28.691990;-1.774461;7.291418,,,
l265,35.962039;-1.328419;7.491691,,,
l266,45.541275;7.391602;7.549842,,,
l267,19.804040;7.750863;7.398493,,,
l268,38.908151;9.023604;7.426411,,,
l269,18.042920;10.851776;7.314770,,,
l270,24.633453;-3.042863;7.447053,,,
l271,25.018109;-2.244867;7.539263,,,
l272,47.194948;-0.831628;7.714759,,,
l273,46.882878;6.805570;7.752871,,,
l274,22.127260;7.232967;7.543734,,,
l275,40.203007;8.617330;7.646255,,,
l276,23.978545;-2.826570;7.818991,,,
l277,28.012414;-1.380332;7.766017,,,
l278,30.659161;1.651338;7.797215,,,
l279,48.999702;1.869514;8.020629,,,
l280,30.661664;5.071174;7.895398,,,
l281,48.787398;5.283316;8.030851,,,
l282,27.263838;7.952344;7.870225,,,
l283,26.340879;-1.591022;7.924898,,,
l284,34.704368;-0.894602;8.018006,,,
l285,31.354092;0.462430;7.962465,,,
l286,26.682624;1.328401;8.028785,,,
l287,24.249043;1.650615;7.879730,,,
l288,28.465437;1.574703;7.899965,,,
l289,31.284280;4.192799;8.019191,,,
l290,28.250744;6.973141;8.066051,,,
l291,30.807890;7.466246;8.053812,,,
l292,38.055010;7.604648;8.091744,,,
l293,33.870342;7.708454;8.030219,,,
l294,25.109696;7.859680;7.906404,,,
l295,37.521185;7.989036;7.998401,,,
l296,23.182756;-2.732563;8.122291,,,
l297,25.226427;-1.487835;8.189638,,,
l298,27.113149;-1.070945;8.151397,,,
l299,29.459300;-0.919573;8.164765,,,
l300,32.117530;-1.005251;8.157792,,,
l301,32.130150;-0.064700;8.158861,,,
l302,29.376885;0.311970;8.140536,,,
l303,36.022171;1.079319;8.328685,,,
l304,23.022482;1.407205;8.032582,,,
l305,23.046717;2.183841;8.062890,,,
l306,29.527524;3.916487;8.258009,,,
l307,23.232880;4.180719;8.223501,,,
l308,24.502223;5.009585;8.110809,,,
l309,26.573554;5.085401;8.133759,,,
l310,22.516613;5.163586;8.046006,,,
l311,22.377216;6.733289;8.138420,,,
l312,31.856341;6.925117;8.284281,,,
l313,35.098590;7.015347;8.275974,,,
l314,38.703066;7.118342;8.205927,,,
l315,25.712582;7.734682;8.070022,,,
l316,23.676511;-1.394660;8.256797,,,
l317,27.979106;-0.794353;8.410807,,,
l318,46.488195;-0.042492;8.641675,,,
l319,27.932380;0.180674;8.395231,,,
l320,36.257922;0.377985;8.378985,,,
l321,40.722078;0.875366;8.489257,,,
l322,40.362479;1.769623;8.421512,,,
l323,27.530092;4.004928;8.364852,,,
l324,25.236354;4.539482;8.317345,,,
l325,36.462173;5.349246;8.521991,,,
l326,40.446244;5.643632;8.516773,,,
l327,39.870704;6.245496;8.416231,,,
l328,35.673541;6.614142;8.389583,,,
l329,26.838733;6.665200;8.314216,,,
l330,24.707502;7.395608;8.364409,,,
l331,45.847585;7.703498;8.650502,,,
l332,24.446915;-1.031787;8.520908,,,
l333,26.344399;-0.746533;8.545149,,,
l334,37.532915;3.382199;8.714036,,,
l335,28.283551;3.471834;8.569082,,,
l336,26.288403;3.825151;8.618945,,,
l337,36.990783;4.219881;8.609212,,,
l338,41.947313;4.663598;8.802586,,,
l339,46.252623;6.319103;8.685810,,,
l340,27.593678;6.243054;8.507304,,,
l341,48.671087;3.080804;9.072360,,,
l342,34.291705;3.092119;8.750682,,,
l343,47.794301;5.580473;8.953649,,,
l344,49.072777;1.048177;9.128210,,,
l345,48.788586;4.183193;9.110836,,,
l346,45.127279;3.743843;9.445977,,,
l385,25.269911;12.736657;3.256979,,,
l1833,43.541189;-7.187869;0.128291,,,
l1834,45.320528;12.372797;0.203294,,,
l1837,17.834677;12.576180;0.448383,,,
l1839,28.391949;-8.063388;0.560065,,,
l1841,36.748060;-6.223101;0.762848,,,
l1842,45.611663;12.228221;1.079961,,,
l1844,44.091836;13.701572;1.057919,,,
l1845,13.987549;-8.196983;1.428331,,,
l1846,19.661841;-6.594884;2.213418,,,
l1848,20.337318;-6.898472;2.328687,,,
l1851,14.125189;-8.137551;2.658971,,,
l1852,36.324812;12.168479;2.913147,,,
l1853,25.722169;-5.684804;3.044956,,,
l1856,43.186872;-6.503694;3.326005,,,
l1858,43.636873;-6.064276;3.361219,,,
