key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l1750,46.975880;2.501686;8.769873,,,
l1878,36.808758;-6.946730;-0.289895,,,
l1880,42.625351;14.221312;-0.201674,,,
l1881,17.679028;-8.255741;0.172232,,,
l1882,38.501862;-6.726027;0.271198,,,
l1887,34.382275;-5.898497;0.668818,,,
l1893,38.596245;-5.420542;1.955464,,,
l1894,46.981117;12.766667;2.111881,,,
l1899,39.667591;12.883339;2.327886,,,
l1900,43.470650;-6.201440;2.369249,,,
l1902,38.245060;-5.999800;3.058375,,,
l1904,55.457458;11.906593;3.548546,,,
l1905,54.291428;12.198628;3.461993,,,
l1906,56.163078;11.718472;3.600956,,,
l1907,40.508308;13.002756;3.708992,,,
l1908,34.537407;-5.991148;4.067283,,,
l1909,36.751839;-5.894044;3.938973,,,
l1910,51.259373;11.769807;4.069373,,,
l1911,50.495911;12.387246;4.015046,,,
l1913,44.306416;12.745810;4.142220,,,
l1914,52.523136;11.385608;4.184993,,,
l1918,34.126247;-5.375166;5.426497,,,
l1919,56.956245;-4.209186;5.403820,,,
l1920,56.743664;8.442817;5.506280,,,
l1921,56.010616;8.673779;5.420393,,,
l1922,55.161434;10.575626;5.376974,,,
l1923,33.503616;-4.785943;5.711453,,,
l1925,50.310497;-4.344134;6.205663,,,
l1927,39.917805;9.369190;6.581675,,,
l1930,36.812508;-2.422605;6.535647,,,
l1933,59.983704;0.919495;6.819726,,,
l1937,55.763153;6.555944;7.233163,,,
l1941,56.894745;6.106051;7.414369,,,
l1943,38.785614;-1.105905;7.675200,,,
l1944,53.899414;-1.185129;7.705911,,,
l1946,42.889645;5.152277;8.393157,,,
l1947,44.515587;-0.576090;8.723228,,,
l2297,63.684246;6.247962;7.555480,,,
l2309,32.422173;-7.574541;-0.562699,,,
l2310,42.822613;-7.514128;-0.671240,,,
l2311,57.476868;-7.224344;-0.817778,,,
l2312,60.157948;13.837916;-0.187949,,,
l2313,26.148376;-7.969082;-0.306934,,,
l2314,40.403809;-7.023958;-0.195274,,,
l2315,46.058212;-5.862828;-0.108839,,,
l2316,57.657310;-6.712868;-0.007250,,,
l2318,52.067978;13.675929;0.615875,,,
l2319,53.616238;13.732872;0.632690,,,
l2320,58.024803;-6.209125;0.010486,,,
l2321,64.427231;13.604359;0.734510,,,
l2322,45.437023;-6.641595;0.401282,,,
l2323,41.345795;14.324454;1.080372,,,
l2326,57.445049;-7.004838;0.775892,,,
l2327,58.162022;-6.466347;0.811426,,,
l2329,61.276588;13.249467;1.597162,,,
l2332,55.121449;12.700309;2.162732,,,
l2334,50.079491;-6.337976;1.823291,,,
l2335,32.626343;-5.993198;2.230507,,,
l2336,45.989372;-5.908008;2.071104,,,
l2337,51.160995;-5.561634;1.914555,,,
l2338,49.490749;12.919901;2.563294,,,
l2339,40.337486;-6.133898;2.401923,,,
l2340,45.359818;-6.044279;2.547394,,,
l2341,44.465755;-5.942707;2.443047,,,
l2342,70.350494;-5.545219;2.299669,,,
l2346,54.186516;-5.708583;2.863018,,,
l2347,48.643902;-6.278015;2.931489,,,
l2351,70.558029;-5.739820;3.382044,,,
l2352,58.551601;11.749693;3.982551,,,
l2354,31.823790;12.893194;4.439768,,,
l2355,41.088928;-6.219610;3.871667,,,
l2356,47.155876;-5.878003;3.915483,,,
l2358,48.743904;-5.549387;4.169160,,,
l2359,67.184204;-5.359601;4.137362,,,
l2360,54.000294;-5.809778;4.291633,,,
l2361,54.066319;-5.081796;4.304857,,,
l2363,45.464725;-5.296375;4.732852,,,
l2365,39.472298;-6.073949;4.838745,,,
l2366,58.062492;9.245243;5.440501,,,
l2367,49.054665;9.682852;5.539638,,,
l2368,57.247662;10.903354;5.449378,,,
l2369,59.383293;-4.031597;5.069960,,,
l2370,60.085751;-3.787037;5.173644,,,
l2374,57.262348;-2.920196;5.580713,,,
l2375,69.142624;9.692995;5.940925,,,
l2377,69.885406;9.285578;6.005715,,,
l2378,47.859921;-4.379466;6.430426,,,
l2379,50.139847;7.007745;6.830369,,,
l2381,47.117100;-3.473722;6.830632,,,
l2382,56.116188;1.055635;7.047964,,,
l2384,42.128044;8.422276;7.280565,,,
l2386,57.207409;-1.183653;7.208067,,,
l2387,66.980522;0.388545;7.271460,,,
l2388,67.117325;1.399006;7.329387,,,
l2389,60.778793;6.688838;7.433603,,,
l2391,55.211193;-0.386063;7.573428,,,
l2392,68.186707;4.020035;7.615741,,,
l2393,67.650101;4.361739;7.543510,,,
l2394,67.146797;5.145413;7.499681,,,
l2395,50.953922;-0.030803;7.945192,,,
l2555,38.906517;-7.228896;-0.857045,,,
l2556,56.941578;13.985815;-0.167481,,,
l2559,59.060871;-6.744002;-0.133257,,,
l2562,72.618889;13.369427;0.848955,,,
l2563,52.180122;-7.091228;0.326678,,,
l2565,50.888588;-6.991090;0.852867,,,
l2567,26.141386;-7.801756;1.069769,,,
l2569,48.412094;13.017395;2.120601,,,
l2570,48.160664;-6.333014;1.730001,,,
l2571,47.130272;-6.301994;1.623728,,,
l2576,72.299416;13.134978;2.959211,,,
l2580,61.108440;12.718004;3.089063,,,
l2581,60.001236;12.869743;3.009925,,,
l2582,34.625160;-6.320233;2.669084,,,
l2583,35.789089;-6.290231;2.684185,,,
l2584,36.735199;-6.278252;2.617830,,,
l2588,58.023018;12.523919;3.597781,,,
l2590,52.212910;-6.409271;3.367697,,,
l2592,72.308083;12.259676;3.977257,,,
l2595,68.922943;-5.521877;3.933494,,,
l2597,56.152580;-5.405580;3.956808,,,
l2598,50.083313;-5.496160;4.182440,,,
l2599,51.206799;10.933845;4.668106,,,
l2601,48.688171;10.739571;4.824878,,,
l2602,56.262138;10.921259;4.755471,,,
l2603,71.208389;11.394184;4.876260,,,
l2604,72.932190;10.148305;4.983211,,,
l2606,61.718571;-4.236423;4.808040,,,
l2608,56.176445;11.058577;5.487526,,,
l2610,58.357109;-4.418612;5.040020,,,
l2613,61.713810;11.162228;5.562110,,,
l2614,68.263931;11.266697;5.541589,,,
l2615,50.324177;-5.300140;5.385027,,,
l2616,46.918232;-4.595251;5.585888,,,
l2617,73.229881;8.240796;5.982114,,,
l2618,73.045113;9.443883;6.029088,,,
l2619,72.294991;10.249615;5.983405,,,
l2622,62.112457;-2.868775;5.716297,,,
l2623,49.861240;-5.361228;5.853673,,,
l2626,57.764736;7.866641;6.230189,,,
l2627,48.555573;-5.222615;6.065200,,,
l2628,70.721420;-3.211679;6.191104,,,
l2631,54.241055;-2.663715;6.321921,,,
l2632,71.438919;7.766821;6.764198,,,
l2634,74.185181;-0.947286;6.779953,,,
l2636,73.150795;6.556919;6.951131,,,
l2637,67.190056;8.224717;7.110943,,,
l2640,59.773094;7.218068;7.363837,,,
l2641,68.899155;7.681673;7.367355,,,
l2642,60.956062;-0.650435;7.180036,,,
l2643,65.640007;0.179136;7.323774,,,
l2644,70.488609;1.857292;7.328804,,,
l2647,64.966919;6.225829;7.500751,,,
l2650,67.413673;3.286958;7.807934,,,
l2651,66.644455;4.095439;7.699664,,,
l2652,72.046211;6.502803;7.835844,,,
l2653,60.344238;2.251837;7.965970,,,
l2654,74.364471;2.966674;8.052686,,,
l2675,62.569462;13.513615;1.207983,,,
